,ProductName,Description,Gender,PrimaryColor,ProductBrand
4163,alena  peach-coloured embroidered straight kurta,"peach-coloured embroidered straight kurta, has a round neck, three-quarter sleeves, curved hem, and side slits",women, red,alena
4164,lavie  black textured wedges,"a pair of black textured open toe wedges, has regular styling, backstrap detail with buckle closuresynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 month warranty provided by brand/manufacturer",women, red,lavie
4165,fausto  red formal slip-ons,"a pair of red round-toed formal slip-onssynthetic uppecushioned footbedtextured outsole, has a stacked heel",men, red,fausto
4166,levis  stranger things men grey melange printed hooded sweatshirt,"grey melange printed sweatshirt, has a hood, long sleeves, straight hem, 1 kangaroo pocket",men, grey,levis
4167,mochi  tan brown solid pumps,"a pair of tan brown solid round toe pumps, has regular styling, closed back detailsynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, brown,mochi
4168,flying machine  blue jackson skinny fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4169,archies  printed ceramic cup,pattern: printedfinish: mattematerial: ceramic,unisex, white,archies
4170,indian terrain  grey melange & black color-blocked polo collar t-shirt,"grey melange and black color-blocked t-shirt, has a polo collar, and long sleeves",boys, black,indian terrain
4171,adorn by nikita ladiwala  oval drop earrings,silver-toned oval earrings secured with a lever back,women, silver,adorn by nikita ladiwala
4172,flying machine  navy & maroon slim fit striped casual shirt,"navy blue and maroon striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, 1 patch pocket",men, maroon,flying machine
4173,heatwave  black textured synthetic mid-top slip-on sneakers,"a pair of round-toe black slip-on sneakers, has mid-top styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, red,heatwave
4174,mast & harbour  black solid denim jacket,"black solid denim jacket with distressed detail, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, unlined",women, black,mast & harbour
4175,flying machine  navy blue slim tapered fit mid-rise clean look stretchable jeans,"navy blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4176,flying machine  blue michael slim tapered fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, and has a button and zip closure",men,blue,flying machine
4177,karmic vision  dusty pink & black colourblocked maxi dress,"dusty pink and black colourblocked woven maxi dress, has a boat neck, has one short sleeve, concealed zip closure, straight hem",women, black,karmic vision
4178,hrx by hrithik roshan  green regular fit running t-shirt,"cut from rice knit polyester, the hrx women's running t-shirt is lightweight, breathable and wicks away sweat to keep you dry from start to finish. that's not all, its flatlock seams ensure you don't chafe your skin while you're running.featuresrapid dry technology wicks sweat and dries fastanti-microbial technology keeps odor-causing microbes awaylightweight fabric makes movement easierflatlock seams prevent chafingbrand logo printdesign: solidcolor: deep tealfit: regularknit t-shirt",women, green,hrx by hrithik roshan
4179,suitltd  waistcoat,"grey waistcoat with a woven design, has a v-neck, sleeveless, a button placket on the front, two welt pockets, an attached lining",men, grey,suitltd
4180,vishudh  maroon floral wrap dress,"maroon printed woven wrap dress, has a v-neck, three-quarter sleeves, and flared hem",women, maroon,vishudh
4181,karmic vision  navy blue solid wrap dress,"navy blue solid woven wrap dress with tie-up detail, has a v-neck, three-quarter sleeves, and tulip hem",women,blue,karmic vision
4182,lavie  black & silver-toned woven design wedges,"a pair of black, silver-toned woven design open toe wedges, has regular styling, backstrap detail with buckle closure synthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,lavie
4183,karmic vision  black & red colourblocked one shoulder a-line dress,"black and red colourblocked woven one shoulder a-line dress, sleeveless, concealed zip closure, and flared hem",women, red,karmic vision
4184,indian terrain  navy blue regular fit solid trousers,"navy blue solid mid-rise trousers, button closure, and 5 pockets",boys,blue,indian terrain
4185,archies  gifts white printed ceramic cup,pattern: printedfinish: mattematerial: ceramic,unisex, white,archies
4186,indian terrain  blue printed round neck t-shirt,"blue printed t-shirt, has a round neck, and short sleeves",boys,blue,indian terrain
4187,karatcart  gold-plated floral beaded drop earrings,"green floral drop earrings, gold-plated, and has artificial stones and beadssecured with a post and back closurewarranty: 1 monthwarranty provided by brand owner / manufacturer",women, green,karatcart
4188,hancock  beige slim fit solid formal trousers,"beige solid mid-rise trousers, hook and bar closure, and 4 pocketsdisclaimer: the stylist has paired this pair of trousers with a belt. this pair of trousers does not come with a belt.",men, beige,hancock
4189,hrx by hrithik roshan  rust red running rapid dry solid regular fit t-shirt,"cut from rice knit polyester, the hrx women's running t-shirt is lightweight, breathable and wicks away sweat to keep you dry from start to finish. that's not all, its flatlock seams ensure you don't chafe your skin while you're runningfeaturesrapid dry technology wicks sweat and dries fastanti-microbial technology keeps odor-causing microbes awaylightweight fabric makes movement easierflatlock seams prevent chafingbrand logo printdesign: solidcolor: garnet rosefit: regular",women, red,hrx by hrithik roshan
4191,fausto  red striped sneakers,"a pair of round-toe red striped sneakers, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsole",women, red,fausto
4192,lavie  black solid wedges,"a pair of black open toe solid wedges with metallic detail, has regular styling, backstrap detailsynthetic uppercushioned footbedtextured and patterned outsole, has a wedge heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, black,lavie
4193,hypernation  black & grey striped straight kurta,"black and grey striped straight kurta, has a mandarin collar, long sleeves, curved hem, and multiple slits",men, black,hypernation
4194,flying machine  blue michael slim tapered fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4195,clovia  rich non-padded non-wired t-shirt bra,grey and red solid full-coverage t-shirt branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,clovia
4196,karmic vision  pink & black colourblocked a-line dress,"pink and black colourblocked woven a-line dress with lace insert detailing, has a round neck, three-quarter sleeves, concealed zip closure, an attached lining, and high-low hem",women, black,karmic vision
4197,archies  gifts white 2-pieces printed ceramic cups set,content: 2 pieces cups setpattern: printedfinish: mattematerial: ceramicfeatures: dishwasher and microwave safe,unisex, white,archies
4198,flying machine  navy blue & brown slim fit checked casual shirt,"navy blue and brown checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,flying machine
4199,archies  gifts white & black ceramic coffee mug,content: singe ceramic cuppattern: printedfinish: mattematerial: ceramic,unisex, black,archies
4200,here&now  black slim fit mid-rise clean look stretchable jeans,"black dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",men, black,here&now
4201,flying machine  blue michael slim tapered fit mid-rise clean look stretchable jeans,"blue light wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,flying machine
4202,fancy mart  & green artificial flowers and plants in wood square pot,"set content: 1 artificial flowers and plants in wood square potcolour: yellow & greenpattern: solidmaterial: fabric, wood, plasticcolour: brownpattern: textured shape: frustum material: plastic",unisex, green,fancy mart
4203,buckleup  red solid heels,"a pair of red open toe heels, has regular styling, ankle loop detailsynthetic uppercushioned footbedtextured and patterned outsole, has a stiletto heelwarranty: 1 monthwarranty provided by brand/manufacturer",women, red,buckleup
4204,roadster  grey & black pure cotton colourblocked hooded sweatshirt,"grey and black colourblocked sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",men, black,roadster
4205,imyoung  yellow slim fit solid casual shirt,"yellow solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, yellow,imyoung
